count
1
0
0
3
0
0
1
0
0
3
4
0
0
7
0
0
4
0
0
3
1
0
0
0
0
2
1
3
0
0
9
12
12
8
4
1
0
5
10
1
4
7
0
0
9
10
10
7
10
0
0
11
6
4
0
2
0
0
10
20
21
21
8
7
0
36
21
28
19
23
0
1
17
11
4
19
15
0
0
11
14
22
9
15
1
0
20
10
9
2
7
0
1
14
15
22
13
15
0
1
10
33
7
13
14
1
2
21
15
16
20
25
4
3
30
21
22
20
21
5
1
33
18
23
33
32
8
5
32
43
38
48
28
10
7
47
34
37
38
21
10
11
35
38
56
32
54
21
19
13
42
54
39
1
14
8
45
42
15
10
12
10
4
23
25
21
39
