Model,MAE,RMSE,MAPE
Exponential Smoothing,7.885357658499345,10.355007793301183,315892151265807.75
ARIMA,8.633967542943497,11.218681437676203,500545557999715.2
Linear Regression,7.834030226890135,10.493235069727103,1211119821484356.5
LightGBM,8.531353068949315,10.862944044825317,1089486748176850.2
XGBoost,8.81586958946158,11.601537081676982,607912759823444.5
Prophet,8.12558796882425,9.978879829825651,1758662503572749.5
