Model,MAE,RMSE,MAPE
Exponential Smoothing,8.211692788157979,10.797685530827874,610290391955372.9
ARIMA,8.437708549471894,11.08277154247151,1323274530217223.8
Linear Regression,7.800874748765938,10.56612776390954,1233561848348638.8
LightGBM,8.393173544854147,10.75285156621683,1083251205282655.0
XGBoost,8.843254218865575,11.734301755118832,661646924784648.8
Prophet,8.228840732127784,10.199172557511591,1815471698549649.5
