Model,MAE,RMSE,MAPE
Exponential Smoothing,7.468725636162823,9.77304211973729,2189910855969208.5
ARIMA,8.030509931495846,10.423582374617144,1322928603378255.2
Linear Regression,7.850196099341877,10.477161041192222,1379484703227810.5
LightGBM,8.476818491644424,10.878105803461743,1023834663005631.0
XGBoost,8.970498885124647,11.70218535272319,800156551341428.8
Prophet,8.018116869333708,9.779094336742855,2111849635770373.5
