Model,MAE,RMSE,MAPE
Exponential Smoothing,7.937264068033654,10.40098575693845,703043189157279.4
ARIMA,8.010439030419104,10.313850252133555,1512472925260617.2
Linear Regression,7.946187049427451,10.580717958586188,1237170282935616.8
LightGBM,8.379614366506681,10.720418714029886,1066676511891698.8
XGBoost,8.380818165227314,11.200778962237928,622994036169619.0
Prophet,8.180725085558839,10.13562808808432,1901435366069209.2
