,date,forecasted_value,lower_value,upper_value
0,2023-11-14,26.554105045471694,18.52152328103598,34.586686809907405
1,2023-11-15,33.47306914428599,25.44048737985027,41.505650908721705
2,2023-11-16,35.3598020165377,27.327220252101984,43.39238378097342
3,2023-11-17,34.85992958170756,26.827347817271846,42.89251134614328
4,2023-11-18,27.672691689008055,19.64010992457234,35.705273453443766
5,2023-11-19,30.84142478510006,22.808843020664344,38.87400654953578
6,2023-11-20,26.206989743315717,18.17440797888,34.239571507751435
7,2023-11-21,27.166587974701052,19.134006210265337,35.199169739136764
8,2023-11-22,33.507145192182776,25.47456342774706,41.539726956618495
9,2023-11-23,36.59026803418228,28.557686269746565,44.62284979861799
10,2023-11-24,35.194955603948024,27.16237383951231,43.227537368383736
11,2023-11-25,32.99302623698211,24.960444472546396,41.02560800141782
12,2023-11-26,32.561537710900446,24.52895594646473,40.59411947533616
13,2023-11-27,25.848679873075632,17.816098108639917,33.881261637511344
14,2023-11-28,26.905455997517045,18.87287423308133,34.93803776195276
15,2023-11-29,33.906227420382216,25.8736456559465,41.93880918481793
16,2023-11-30,35.7496267643186,27.717044999882884,43.78220852875431
17,2023-12-01,35.01401732067666,26.981435556240942,43.046599085112376
18,2023-12-02,33.38821734943242,25.35563558499671,41.42079911386814
19,2023-12-03,32.53427812522348,24.501696360787765,40.5668598896592
20,2023-12-04,25.149447293686286,17.11686552925057,33.182029058122
21,2023-12-05,24.292374863265437,16.25979309882972,32.324956627701155
22,2023-12-06,33.60876438772456,25.576182623288847,41.64134615216028
23,2023-12-07,35.68113950177297,27.648557737337253,43.71372126620868
24,2023-12-08,35.03313363643632,27.000551872000603,43.06571540087204
25,2023-12-09,33.099782011286806,25.06720024685109,41.132363775722524
26,2023-12-10,32.63692978940534,24.604348024969628,40.66951155384106
27,2023-12-11,24.786572974686806,16.75399121025109,32.819154739122524
28,2023-12-12,24.068750971615728,16.036169207180013,32.10133273605145
29,2023-12-13,33.54516517221237,25.512583407776656,41.57774693664808
30,2023-12-14,35.69885495294885,27.666273188513134,43.73143671738457
31,2023-12-15,34.96642807892802,26.933846314492303,42.99900984336374
32,2023-12-16,33.0907811346582,25.058199370222486,41.12336289909392
33,2023-12-17,32.60153417256399,24.568952408128272,40.634115936999706
34,2023-12-18,24.83166258431025,16.799080819874536,32.86424434874597
35,2023-12-19,24.676478136195158,16.643896371759443,32.709059900630876
36,2023-12-20,34.05655691075862,26.023975146322908,42.089138675194334
37,2023-12-21,36.515940624048746,28.48335885961303,44.54852238848446
38,2023-12-22,34.08100016891803,26.048418404482316,42.11358193335374
39,2023-12-23,32.99504432664647,24.962462562210757,41.02762609108218
40,2023-12-24,32.293085146784556,24.26050338234884,40.32566691122027
41,2023-12-25,24.88531130534829,16.852729540912573,32.917893069784
42,2023-12-26,26.09192542930517,18.059343664869456,34.12450719374088
43,2023-12-27,32.26190764584967,24.229325881413953,40.29448941028538
44,2023-12-28,32.878431097881105,24.84584933344539,40.911012862316824
45,2023-12-29,31.89509144042698,23.862509675991266,39.9276732048627
46,2023-12-30,32.28933665509492,24.256754890659206,40.32191841953063
47,2023-12-31,31.76252722982108,23.729945465385367,39.79510899425679
