date,count,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,cost_google,cost_meta
2023-08-31,828,1048.0,981.0,866.0,239.0,323.0,834.0,920.0,475399,535266
2023-09-01,675,828.0,1048.0,981.0,866.0,239.0,323.0,834.0,431298,239999
2023-09-02,299,675.0,828.0,1048.0,981.0,866.0,239.0,323.0,0,237327
2023-09-03,250,299.0,675.0,828.0,1048.0,981.0,866.0,239.0,0,256345
2023-09-04,768,250.0,299.0,675.0,828.0,1048.0,981.0,866.0,459018,253703
2023-09-05,784,768.0,250.0,299.0,675.0,828.0,1048.0,981.0,441747,245581
2023-09-06,774,784.0,768.0,250.0,299.0,675.0,828.0,1048.0,463806,247345
2023-09-07,766,774.0,784.0,768.0,250.0,299.0,675.0,828.0,407447,248073
2023-09-08,734,766.0,774.0,784.0,768.0,250.0,299.0,675.0,426354,238451
2023-09-09,326,734.0,766.0,774.0,784.0,768.0,250.0,299.0,0,233206
2023-09-10,275,326.0,734.0,766.0,774.0,784.0,768.0,250.0,0,253693
2023-09-11,830,275.0,326.0,734.0,766.0,774.0,784.0,768.0,433508,243989
2023-09-12,739,830.0,275.0,326.0,734.0,766.0,774.0,784.0,437861,244430
2023-09-13,722,739.0,830.0,275.0,326.0,734.0,766.0,774.0,430892,278399
2023-09-14,855,722.0,739.0,830.0,275.0,326.0,734.0,766.0,422395,267768
2023-09-15,778,855.0,722.0,739.0,830.0,275.0,326.0,734.0,446946,254126
2023-09-16,326,778.0,855.0,722.0,739.0,830.0,275.0,326.0,0,255711
2023-09-17,289,326.0,778.0,855.0,722.0,739.0,830.0,275.0,0,264844
2023-09-18,828,289.0,326.0,778.0,855.0,722.0,739.0,830.0,424204,231890
2023-09-19,799,828.0,289.0,326.0,778.0,855.0,722.0,739.0,424149,282527
2023-09-20,704,799.0,828.0,289.0,326.0,778.0,855.0,722.0,298615,188411
2023-09-21,664,704.0,799.0,828.0,289.0,326.0,778.0,855.0,563243,137692
2023-09-22,664,664.0,704.0,799.0,828.0,289.0,326.0,778.0,531438,217161
2023-09-23,228,664.0,664.0,704.0,799.0,828.0,289.0,326.0,0,235983
2023-09-24,177,228.0,664.0,664.0,704.0,799.0,828.0,289.0,0,243944
2023-09-25,575,177.0,228.0,664.0,664.0,704.0,799.0,828.0,485441,134224
2023-09-26,626,575.0,177.0,228.0,664.0,664.0,704.0,799.0,479972,103017
2023-09-27,728,626.0,575.0,177.0,228.0,664.0,664.0,704.0,460709,107191
2023-09-28,506,728.0,626.0,575.0,177.0,228.0,664.0,664.0,333181,37490
2023-09-29,592,506.0,728.0,626.0,575.0,177.0,228.0,664.0,478920,9296
2023-09-30,248,592.0,506.0,728.0,626.0,575.0,177.0,228.0,100335,2583
2023-10-01,261,248.0,592.0,506.0,728.0,626.0,575.0,177.0,103723,0
2023-10-02,333,261.0,248.0,592.0,506.0,728.0,626.0,575.0,0,0
2023-10-03,568,333.0,261.0,248.0,592.0,506.0,728.0,626.0,359120,0
2023-10-04,600,568.0,333.0,261.0,248.0,592.0,506.0,728.0,357389,0
2023-10-05,607,600.0,568.0,333.0,261.0,248.0,592.0,506.0,353364,0
2023-10-06,592,607.0,600.0,568.0,333.0,261.0,248.0,592.0,366496,0
2023-10-07,251,592.0,607.0,600.0,568.0,333.0,261.0,248.0,105522,0
2023-10-08,233,251.0,592.0,607.0,600.0,568.0,333.0,261.0,104758,0
2023-10-09,663,233.0,251.0,592.0,607.0,600.0,568.0,333.0,376631,63455
2023-10-10,613,663.0,233.0,251.0,592.0,607.0,600.0,568.0,354272,98012
2023-10-11,595,613.0,663.0,233.0,251.0,592.0,607.0,600.0,316004,98830
2023-10-12,678,595.0,613.0,663.0,233.0,251.0,592.0,607.0,421714,96394
2023-10-13,672,678.0,595.0,613.0,663.0,233.0,251.0,592.0,366056,96618
2023-10-14,418,672.0,678.0,595.0,613.0,663.0,233.0,251.0,101037,99208
2023-10-15,309,418.0,672.0,678.0,595.0,613.0,663.0,233.0,101563,50000
2023-10-16,566,309.0,418.0,672.0,678.0,595.0,613.0,663.0,338245,0
2023-10-17,535,566.0,309.0,418.0,672.0,678.0,595.0,613.0,395437,48850
2023-10-18,620,535.0,566.0,309.0,418.0,672.0,678.0,595.0,462186,98024
2023-10-19,629,620.0,535.0,566.0,309.0,418.0,672.0,678.0,456880,96435
2023-10-20,564,629.0,620.0,535.0,566.0,309.0,418.0,672.0,368608,94768
2023-10-21,382,564.0,629.0,620.0,535.0,566.0,309.0,418.0,202713,102133
2023-10-22,381,382.0,564.0,629.0,620.0,535.0,566.0,309.0,348344,107806
2023-10-23,642,381.0,382.0,564.0,629.0,620.0,535.0,566.0,549836,79376
2023-10-24,512,642.0,381.0,382.0,564.0,629.0,620.0,535.0,491272,51004
2023-10-25,564,512.0,642.0,381.0,382.0,564.0,629.0,620.0,465316,48914
2023-10-26,730,564.0,512.0,642.0,381.0,382.0,564.0,629.0,448914,21195
2023-10-27,498,730.0,564.0,512.0,642.0,381.0,382.0,564.0,386679,29085
2023-10-28,320,498.0,730.0,564.0,512.0,642.0,381.0,382.0,245162,46404
2023-10-29,224,320.0,498.0,730.0,564.0,512.0,642.0,381.0,203749,52933
2023-10-30,491,224.0,320.0,498.0,730.0,564.0,512.0,642.0,474039,50765
2023-10-31,531,491.0,224.0,320.0,498.0,730.0,564.0,512.0,582569,51232
2023-11-01,516,531.0,491.0,224.0,320.0,498.0,730.0,564.0,626382,20101
2023-11-02,555,516.0,531.0,491.0,224.0,320.0,498.0,730.0,816142,0
2023-11-03,478,555.0,516.0,531.0,491.0,224.0,320.0,498.0,845047,0
2023-11-04,336,478.0,555.0,516.0,531.0,491.0,224.0,320.0,413866,0
2023-11-05,286,336.0,478.0,555.0,516.0,531.0,491.0,224.0,358292,0
2023-11-06,576,286.0,336.0,478.0,555.0,516.0,531.0,491.0,940456,0
2023-11-07,598,576.0,286.0,336.0,478.0,555.0,516.0,531.0,961172,0
