forecasted_value,lower,upper
679.27490234375,473.9324840462296,884.6173206412705
692.0164184570312,486.67400015951085,897.3588367545517
691.1226196289062,485.78020133138585,896.4650379264267
310.9825134277344,105.64009513021398,516.3249317252548
227.25204467773438,21.90962638021398,432.59446297525477
1002.6737060546875,797.331287757167,1208.016124352208
1157.9124755859375,952.570057288417,1363.254893883458
1077.873046875,872.5306285774795,1283.2154651725205
869.133056640625,663.7906383431045,1074.4754749381455
860.590576171875,655.2481578743545,1065.9329944693955
390.1723937988281,184.82997550130773,595.5148120963486
459.7779541015625,254.4355358040421,665.120372399083
903.5440063476562,698.2015880501358,1108.8864246451767
1040.8565673828125,835.514149085292,1246.198985680333
1035.620361328125,830.2779430306045,1240.9627796256455
863.6397094726562,658.2972911751358,1068.9821277701767
846.7796020507812,641.4371837532608,1052.1220203483017
364.0812683105469,158.73885001302648,569.4236866080673
444.2103271484375,238.8679088509171,649.552745445958
894.3941650390625,689.051746741542,1099.736583336583
976.47314453125,771.1307262337295,1181.8155628287705
982.1824951171875,776.840076819667,1187.524913414708
851.0048217773438,645.6624034798233,1056.3472400748642
834.177978515625,628.8355602181045,1039.5203968131455
323.0536193847656,117.71120108724523,528.3960376822861
248.95289611816406,43.610477820643666,454.29531441568446
894.6224365234375,689.280018225917,1099.964854820958
976.7807006835938,771.4382823860733,1182.1231189811142
984.7665405273438,779.4241222298233,1190.1089588248642
839.087646484375,633.7452281868545,1044.4300647818955
842.9844970703125,637.642078772792,1048.326915367833
323.614013671875,118.2715953743546,528.9564319693955
249.9877166748047,44.64529837728429,455.3301349723251
894.6224365234375,689.280018225917,1099.964854820958
976.7807006835938,771.4382823860733,1182.1231189811142
984.7665405273438,779.4241222298233,1190.1089588248642
839.087646484375,633.7452281868545,1044.4300647818955
842.9844970703125,637.642078772792,1048.326915367833
330.8655090332031,125.52309073568273,536.2079273307236
297.130615234375,91.7881969368546,502.4730335318954
928.2511596679688,722.9087413704483,1133.5935779654892
1035.7525634765625,830.410145179042,1241.094981774083
913.1170043945312,707.7745860970108,1118.4594226920517
837.1766357421875,631.834217444667,1042.519054039708
818.22998046875,612.8875621712295,1023.5723987662705
328.45233154296875,123.10991324544835,533.7947498404892
401.9105529785156,196.56813468099523,607.2529712760361
770.0450439453125,564.702625647792,975.387462242833
786.217529296875,580.8751109993545,991.5599475943955
777.4854736328125,572.143055335292,982.827891930333
791.4839477539062,586.1415294563858,996.8263660514267
797.0422973632812,591.6998790657608,1002.3847156608017
