date,count,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,web_visitor,working_hours_lawyers,late_hours_lawyers,cpa_google,cpa_meta,inq
2023-05-06,1,14.572192513368984,14.440860215053764,14.286486486486487,14.103260869565217,14.032786885245901,13.983516483516484,13.900552486187845,533.6524822695036,0.0,1.0,580.4168380260844,421.5597822869535,9.0
2023-05-07,0,1.0,14.440860215053764,14.286486486486487,14.103260869565217,14.032786885245901,13.983516483516484,13.900552486187845,533.6524822695036,0.0,0.0,580.4168380260844,421.5597822869535,11.0
2023-05-08,0,0.0,1.0,14.286486486486487,14.103260869565217,14.032786885245901,13.983516483516484,13.900552486187845,533.6524822695036,1.0,1.0,580.4168380260844,421.5597822869535,11.0
2023-05-09,3,0.0,0.0,1.0,14.103260869565217,14.032786885245901,13.983516483516484,13.900552486187845,533.6524822695036,2.0,0.0,580.4168380260844,421.5597822869535,9.0
2023-05-10,0,3.0,0.0,0.0,1.0,14.032786885245901,13.983516483516484,13.900552486187845,533.6524822695036,0.0,0.0,580.4168380260844,421.5597822869535,10.0
2023-05-11,0,0.0,3.0,0.0,0.0,1.0,13.983516483516484,13.900552486187845,533.6524822695036,0.0,0.0,580.4168380260844,421.5597822869535,9.0
2023-05-12,1,0.0,0.0,3.0,0.0,0.0,1.0,13.900552486187845,533.6524822695036,1.0,0.0,580.4168380260844,421.5597822869535,9.0
2023-05-13,0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,533.6524822695036,0.0,0.0,580.4168380260844,421.5597822869535,12.0
2023-05-14,0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,533.6524822695036,0.0,0.0,580.4168380260844,421.5597822869535,14.0
2023-05-15,3,0.0,0.0,1.0,0.0,0.0,3.0,0.0,533.6524822695036,1.0,1.0,580.4168380260844,421.5597822869535,11.0
2023-05-16,4,3.0,0.0,0.0,1.0,0.0,0.0,3.0,533.6524822695036,2.0,0.0,580.4168380260844,421.5597822869535,14.0
2023-05-17,0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,533.6524822695036,0.0,0.0,580.4168380260844,421.5597822869535,10.0
2023-05-18,0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,533.6524822695036,0.0,0.0,580.4168380260844,421.5597822869535,11.0
2023-05-19,7,0.0,0.0,4.0,3.0,0.0,0.0,1.0,533.6524822695036,0.0,1.0,580.4168380260844,421.5597822869535,12.0
2023-05-20,0,7.0,0.0,0.0,4.0,3.0,0.0,0.0,533.6524822695036,0.0,0.0,580.4168380260844,421.5597822869535,11.0
2023-05-21,0,0.0,7.0,0.0,0.0,4.0,3.0,0.0,533.6524822695036,0.0,0.0,580.4168380260844,421.5597822869535,13.0
2023-05-22,4,0.0,0.0,7.0,0.0,0.0,4.0,3.0,533.6524822695036,1.0,0.0,580.4168380260844,421.5597822869535,15.0
2023-05-23,0,4.0,0.0,0.0,7.0,0.0,0.0,4.0,533.6524822695036,2.0,0.0,580.4168380260844,421.5597822869535,21.0
2023-05-24,0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,533.6524822695036,0.0,0.0,580.4168380260844,421.5597822869535,16.0
2023-05-25,3,0.0,0.0,4.0,0.0,0.0,7.0,0.0,533.6524822695036,4.0,0.0,580.4168380260844,421.5597822869535,19.0
2023-05-26,1,3.0,0.0,0.0,4.0,0.0,0.0,7.0,533.6524822695036,5.0,4.0,580.4168380260844,421.5597822869535,23.0
2023-05-27,0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,533.6524822695036,2.0,0.0,580.4168380260844,421.5597822869535,20.0
2023-05-28,0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,533.6524822695036,0.0,0.0,580.4168380260844,421.5597822869535,20.0
2023-05-29,0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,533.6524822695036,6.0,1.0,580.4168380260844,421.5597822869535,21.0
2023-05-30,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,533.6524822695036,4.0,0.0,580.4168380260844,421.5597822869535,21.0
2023-05-31,2,0.0,0.0,0.0,0.0,1.0,3.0,0.0,533.6524822695036,12.0,2.0,580.4168380260844,421.5597822869535,23.0
2023-06-01,1,2.0,0.0,0.0,0.0,0.0,1.0,3.0,533.6524822695036,2.0,0.0,580.4168380260844,421.5597822869535,35.0
2023-06-02,3,1.0,2.0,0.0,0.0,0.0,0.0,1.0,533.6524822695036,4.0,3.0,580.4168380260844,421.5597822869535,47.0
2023-06-03,0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,533.6524822695036,3.0,1.0,580.4168380260844,421.5597822869535,30.0
